Title,imdbRating,Year,NumVotes,ReleaseDate
inside edge,8,2017,8003,10-07-2017
laakhon mein ek,8.3,2017,3251,13-10-2017
pushpavalli,7.4,2017,1230,15-12-2017
shaitaan haveli,7.1,2018,656,05-01-2018
breathe,8.4,2018,14080,26-01-2018
chacha vidhayak hain hamare,7.9,2018,2634,18-05-2018
mirzapur,8.5,2018,32038,16-11-2018
four more shots please!,6.8,2019,17458,25-01-2019
made in heaven,8.3,2019,7947,07-03-2019
mind the malhotras,6.4,2019,1536,07-06-2019
the family man,8.6,2019,25772,20-09-2019
hostel daze,8.6,2019,6279,13-12-2019
the forgotten army,8,2020,3648,24-01-2020
afsos,7.6,2020,2154,06-02-2020
panchayat,8.7,2020,21284,03-04-2020
paatal lok,7.8,2020,35740,15-05-2020
rasbhari,2.8,2020,10337,25-06-2020
breathe:into the shadows,7.7,2020,9816,10-07-2020
bandish bandits,8.7,2020,10383,04-08-2020
